ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Monostyla-bipes	Monostyla		bipes		Stokes 1896	The Annals and Magazine of Natural History, (ser. 6) 18: p.23, pl.8, figs.11-13; no deposited types known [junior subjective synonym of Lecane bulla (Gosse, 1851); name indeclinable]
Diglena-biraphis	Diglena		biraphis		Gosse 1851	The Annals and Magazine of Natural History, (ser. 2) 8: p.200; no deposited types known [junior subjective synonym of Dicranophoroides caudatus (Ehrenberg, 1834); name indeclinable]
Anuraea-biremis	Anuraea		biremis		Ehrenberg 1832	Abhandlungen der königlichen Akademie der Wissenschaften zu Berlin (für 1831): p.144; no deposited types known [junior subjective synonym of Notholca striata (Müller, 1786); name declinable]
Arthracanthus-biremis	Arthracanthus		biremis		Schmarda 1854	Denkschriften der kaiserlichen Akademie der Wissenschaften, mathematisch-naturwissenschaftliche Classe (Wien), 7/2: p.22, pl.6, fig.5; no deposited types known [junior subjective synonym of Brachionus calyciflorus Pallas, 1766; name declinable]
Mastigocerca-birostris	Mastigocerca		birostris		Minkiewicz 1900	Zoologischer Anzeiger, 23: p.623, fig.3b; no deposited types known [junior subjective synonym of Trichocerca similis (Wierzejski, 1893); name declinable]
Stephanops-bisetatus	Stephanops		bisetatus		Ternetz 1892	in Ternetz, C, Rotatorien der Umgebung Basels: p.33, pl.2, figs.8,9; no deposited types known [junior subjective synonym of Squatinella bifurca (Bolton, 1884); name declinable]
Cathypna-leontina-bisinuata	Cathypna		leontina	bisinuata	Daday 1905	Zoologica, 18: p.109, pl.6, fig.18; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Diplax-bisulcata	Diplax		bisulcata		Lucks 1912	in Lucks, R, Zur Rotatorienfauna Westpreußens: p.95, fig.28; no deposited types known [valid as Mytilina bisulcata; name declinable]
Rotifer-longirostris-bitorquatus	Rotifer		longirostris	bitorquatus	Murray 1908	Journal of the Royal Microscopical Society, 28: p.668, pl.15, fig.8; no deposited types known [valid as Rotaria sordida bitorquata; name declinable]
Cephalodella-biungulata	Cephalodella		biungulata		Wulfert 1937	Archiv für Hydrobiologie, 31: p.617, fig.26; no deposited types known [valid as Cephalodella biungulata; name declinable]
Collotheca-bjoerki	Collotheca		bjoerki		Bērziņš 1976	in Berzins, B, Notes on the Rotifera from Aneboda: p.4, fig.2; no deposited types known [junior subjective synonym of Collotheca quadrinodosa Wright, 1961; name indeclinable]
Dissotrocha-bjoerki	Dissotrocha		bjoerki		Bērziņš 1982	Limnologiska institutionen, Lunds universitet: p.7, fig.27; no deposited types known [valid as Dissotrocha bjoerki; name indeclinable]
Lecane-blachei	Lecane		blachei		Bērziņš 1973	Hydrobiologia, 41: p.454, figs.6-8; no deposited types known [valid as Lecane blachei; name indeclinable]
Mastigocerca-blanci	Mastigocerca		blanci		Linder 1904	Revue Suisse de Zoologie, 12: p.238, fig.7a,b; no deposited types known [junior subjective synonym of Trichocerca similis (Wierzejski, 1893); name indeclinable]
Cephalodella-boettgeri	Cephalodella		boettgeri		Koste 1988	Amazoniana, 10: p.313, figs.2,3; holotype: SMF GPRot7366 [valid as Cephalodella boettgeri; name indeclinable]
Lecane-boettgeri	Lecane		boettgeri		Koste 1986	Osnabrücker naturwissenschaftliche Mitteilungen, 12: p.149, figs.14,15; holotype: SMF GPRot7231 [valid as Lecane boettgeri; name indeclinable]
Lecane-boliviana	Lecane		boliviana		Segers 1994	Archiv für Hydrobiologie, 132: p.228, fig.2; holotype: RBINS RIR0036-IG28069 [valid as Lecane boliviana; name declinable]
Mastigocerca-hamata-bologoensis	Mastigocerca		hamata	bologoensis	Minkiewicz 1900	Zoologischer Anzeiger, 23: p.622, fig.3a; no deposited types known [junior subjective synonym of Trichocerca cylindrica (Imhof, 1891); name declinable]
Lecane-bondi	Lecane		bondi		Edmondson 1934	Archiv für Hydrobiologie, 26: p.466, fig.1; no deposited types known [junior subjective synonym of Lecane curvicornis (Murray, 1913); name indeclinable]
Lecane-boorali	Lecane		boorali		Koste & Shiel 1983	Hydrobiologia, 104: p.14, figs.6-8; holotype: KC Genus Lecane No.201 [valid as Lecane boorali; name indeclinable]
Encentrum-boreale	Encentrum		boreale		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 23: p.767, pl.42, figs.6-7; no deposited types known [valid as Encentrum boreale; name declinable]
Lepadella-borealis	Lepadella		borealis		Harring 1916	Proceedings of the United States National Museum, 51: p.550, pl.92, figs.13-16; holotype: USNM 16830 [valid as Lepadella borealis; name declinable]
Brachionus-amphiceros-borgerti	Brachionus		amphiceros	borgerti	Apstein 1907	Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 25: p.211, fig.G a-c; syntypes: ZMB 10143, 10126 [valid as Brachionus calyciflorus borgerti; name indeclinable]
Scaridium-bostjani	Scaridium		bostjani		Daems & Dumont 1974	Biologisch Jaarboek (Dodonaea), 42: p.73, figs.8,32,33; holotype: RUG, no cat. nr. indicated [valid as Scaridium bostjani; name indeclinable]
Notholca-bostoniensis	Notholca		bostoniensis		Rousselet 1908	Journal of the Quekett Microscopical Club, (ser. 2) 10: p.337, pls.26,27, figs.1-4; syntypes: NHM 1917.1.1.569 (deteriorated), ZMB 5045 [valid as Kellicottia bostoniensis; name declinable]
Pleuretra-bovicornis	Pleuretra		bovicornis		Bartoš 1963	Věstník Československé společnosti zoologické, 27: p.39, pl.3, figs.A-C; no deposited types known [valid as Pleuretra bovicornis; name declinable]
Asplanchna-bowesii	Asplanchna		bowesii		Gosse 1850	The Annals and Magazine of Natural History, (ser. 2) 6: p.23; no deposited types known [junior subjective synonym of Asplanchna brightwellii Gosse, 1850; name indeclinable]
Notommata-brachiata	Notommata		brachiata		Daday 1908	Mathematikai és Természettudományi Értesítő, 26: p.31, fig.24; holotype: ZMB Q.1579 [junior subjective synonym of Notommata pachyura (Gosse, 1886); name declinable]
Triarthra-brachiata	Triarthra		brachiata		Rousselet 1901	Journal of the Quekett Microscopical Club, (ser. 2) 8: p.143, pl.8, figs.7,8; no deposited types known [valid as Filinia brachiata; name declinable]
Oecistes-brachiatus	Oecistes		brachiatus		Hudson 1886	in Hudson, C T & P H Gosse, The Rotifera; or wheel- animalcules, both British and foreign: v.1, p.83, pl.9, fig.2; no deposited types known [valid as Ptygura brachiata; name declinable]
Lycocephalus-brachionus	Lycocephalus		brachionus		Corda 1838	Almanach de Carlsbad, Prague: p.181, pl.1, figs.1-7; no deposited types known [type species of genus Lycocephalus Corda, 1838; junior subjective synonym of Colurella adriatica Ehrenberg, 1831; name indeclinable]
Notommata-brachionus	Notommata		brachionus		Ehrenberg 1837	Abhandlungen der königlichen Akademie der Wissenschaften zu Berlin (für 1835): p.176; no deposited types known [valid as Epiphanes brachionus; name indeclinable]
Cathypna-brachydactyla	Cathypna		brachydactyla		Stenroos 1898	Acta Societatis pro Fauna et Flora Fennica, 17: p.160, pl.2, fig.20; no deposited types known [junior subjective synonym of Lecane depressa (Bryce, 1891); name declinable]
Dicranophorus-hauerianus-brachygnathus	Dicranophorus		hauerianus	brachygnathus	Wiszniewski 1939	Archives d'Hydrobiologie et d'Ichthyologie, 12: p.133, fig.1d; no deposited types known [junior subjective synonym of Dicranophorus siedleckii Wiszniewski, 1953; name declinable]
Notommata-brachyota	Notommata		brachyota		Ehrenberg 1832	Abhandlungen der königlichen Akademie der Wissenschaften zu Berlin (für 1831): p.132, pl.2, fig.8; no deposited types known [valid as Notommata brachyota; name declinable]
Mniobia-brachypoda	Mniobia		brachypoda		Schulte 1954	Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 82: p.608, fig.36; no deposited types known [valid as Mniobia brachypoda; name declinable]
Macrotrachela-brachysoma	Macrotrachela		brachysoma		Schulte 1954	Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 82: p.603, fig.28; no deposited types known [valid as Macrotrachela brachysoma; name indeclinable]
Monocerca-brachyura	Monocerca		brachyura		Gosse 1851	The Annals and Magazine of Natural History, (ser. 2) 8: p.199; no deposited types known [valid as Trichocerca brachyura; name indeclinable]
Rotifer-brachyurus	Rotifer		brachyurus		Ehrenberg 1831	in Ehrenberg, C G, Hemprich et Ehrenberg Symbolae physicae. Animalia evertebrata, exclusis insectis, percensuit Dr. C. G. Ehrenberg. Series prima: continent animalia africana et asiatica: pl.1, fig.18; no deposited types known [junior subjective synonym of Rotaria rotatoria (Pallas, 1766); name declinable]
Brachionus-bractea	Brachionus		bractea		Müller 1786	in Müller, O F, Animalcula infusoria fluviatilia et marina, quæ detexit, systematice descripsit et ad vivum delineari curavit: p.343, pl.49, figs.6-7; no deposited types known [type species of genus Squamella Bory de St. Vincent, 1826; junior subjective synonym of Lepadella patella (Müller, 1773); name indeclinable]
Lepadella-bractea	Lepadella		bractea		Myers 1934	American Museum Novitates, 760: p.2, figs.1-3; syntypes: AMNH 080.1, 080.2 [preoccupied by Lepadella bractea (Müller, 1786), replaced by Lepadella zigzag Segers, 2007; name indeclinable]
Euchlanis-brahmae	Euchlanis		brahmae		Dhanapathi 1976	Memoirs of the Society of Zoology of Guntur, 1: p.43, pl.1, fig.3; no deposited types known [junior subjective synonym of Euchlanis triquetra Ehrenberg, 1838; name indeclinable]
Callidina-branchicola	Callidina		branchicola		Nĕmec 1895	Sitzungsberichte der Königlichen Böhmischen Gesellschaft der Wissenschaften in Prag, 32: p.9, figs.26-30; no deposited types known [valid as Mniobia branchicola; name indeclinable]
Distyla-branchicola	Distyla		branchicola		Piovanelli 1903	Monitore zoologico italiano, 14: p.348; no deposited types known [valid as Lecane branchicola; name indeclinable]
Lepadella-branchicola	Lepadella		branchicola		Hauer 1926	Archiv für Hydrobiologie, 16: p.462, fig.3; syntype: AMNH 593 [valid as Lepadella branchicola; name indeclinable]
Hexarthra-brandorffi	Hexarthra		brandorffi		Koste 1977	Gewässer und Abwässer, 62/63: p.13, fig.4; no deposited types known [valid as Hexarthra brandorffi; name indeclinable]
Pedalia-intermedia-brasiliensis	Pedalia		intermedia	brasiliensis	Hauer 1953	Archiv für Hydrobiologie, 48: p.169, fig.10; syntype: SMF GPRot4667 [valid as Hexarthra intermedia brasiliensis; name declinable]
Lecane-braumi	Lecane		braumi		Koste 1988	Osnabrücker naturwissenschaftliche Mitteilungen, 14: p.111, fig.11; holotype: SMF GPRot7311 [valid as Lecane braumi; name indeclinable]
Dicranophorus-caudatus-braziliensis	Dicranophorus		caudatus	braziliensis	Koste 1972	Amazoniana, 3: p.378, pl.18, fig.1; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Lecane-braziliensis	Lecane		braziliensis		Segers 1993	Belgian Journal of Zoology, 123: p.114, fig.1; no deposited types known [valid as Lecane braziliensis; name declinable]
Lepadella-benjamini-braziliensis	Lepadella		benjamini	braziliensis	Koste 1972	Amazoniana, 3: p.401, pl.37, fig.1a-b; no deposited types known [valid as Lepadella benjamini braziliensis; name declinable]
Lepadella-monodactyla-braziliensis	Lepadella		monodactyla	braziliensis	Koste 1972	Amazoniana, 3: p.405, pl.36, fig.1a; no deposited types known; permanently invalid: preoccupied by Lepadella benjamini braziliensis Koste, 1972 [name declinable]
Macrochaetus-altamirai-braziliensis	Macrochaetus		altamirai	braziliensis	Koste 1972	Amazoniana, 3: p.407, pl.38; holotype: INPA 013 [junior subjective synonym of nominotypical taxon; name declinable]
Rattulus-braziliensis	Rattulus		braziliensis		Murray 1913	Journal of the Royal Microscopical Society, 33: p.244, pl.10, fig.16a,b; no deposited types known [valid as Trichocerca braziliensis; name declinable]
Mniobia-bredensis	Mniobia		bredensis		De Koning 1947	Biologisch Jaarboek (Dodonaea), 14: p.205, pl.9, fig.43; no deposited types known [valid as Mniobia bredensis; name declinable]
Anuraea-curvicornis-brehmi	Anuraea		curvicornis	brehmi	Klausener 1908	Internationale Revue der gesamten Hydrobiologie, 1: p.375,400, fig.3; no deposited types known [junior subjective synonym of Keratella valga (Ehrenberg, 1834); name indeclinable]
Horaella-brehmi	Horaella		brehmi		Donner 1949	Hydrobiologia, 2: p.134, figs.1-3; no deposited types known [type species of genus Horaella Donner, 1949; valid as Horaella brehmi; name indeclinable]
Testudinella-brevicaudata	Testudinella		brevicaudata		Yamamoto 1951	Annotationes Zoologicae Japonenses, 24: p.161, figs.10-12; no deposited types known [valid as Testudinella brevicaudata; name declinable]
Collotheca-breviciliata	Collotheca		breviciliata		Bērziņš 1951	Arkiv för Zoologi, (ser. 2) 1: p.567, fig.9; no deposited types known [junior subjective synonym of Collotheca edentata (Collins, 1872); name declinable]
Trichotria-brevidactyla	Trichotria		brevidactyla		Harring 1913	Proceedings of the United States National Museum, 46: p.400, pl.38, fig.2; holotype: USNM 16523 [valid as Trichotria brevidactyla; name declinable]
Encentrum-brevifulcrum	Encentrum		brevifulcrum		Dartnall 1997	Quekett Journal of Microscopy, 38: p.15, figs.2a,b; holotype: NHM 1995.379 [junior subjective synonym of Paradicranophorus sordidus Donner, 1968; name indeclinable]
Macrotrachela-brevilabris	Macrotrachela		brevilabris		De Koning 1947	Biologisch Jaarboek (Dodonaea), 14: p.199, pl.6, fig.32; no deposited types known [valid as Macrotrachela brevilabris; name declinable]
Notommata-brevipes	Notommata		brevipes		Zavadovsky 1926	Trudy Laboratorii Eksperimentalnoj Biologii Moskovskogo Zooparka, 2: p.274, fig.16; no deposited types known [junior subjective synonym of Notommata brachyota Ehrenberg, 1832; name indeclinable]
Philodina-brevipes	Philodina		brevipes		Murray 1902	Annals of Scottish Natural History, 11: p.164, pl.2; no deposited types known [valid as Philodina brevipes; name indeclinable]
Proales-brevipes	Proales		brevipes		Harring & Myers 1924	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 21: p.428, pl.19, figs.1-2; no deposited types known [junior subjective synonym of Proales decipiens (Ehrenberg, 1830); name indeclinable]
Cathypna-brevis	Cathypna		brevis		Murray 1913	Journal of the Royal Microscopical Society, 33: p.555, pl.22, fig.8; no deposited types known [junior subjective synonym of Lecane flexilis (Gosse, 1886); name declinable]
Oecistes-brevis	Oecistes		brevis		Rousselet 1893	Journal of the Royal Microscopical Society, 13: p.448, pl.7, fig.4; no deposited types known [valid as Ptygura brevis; name declinable]
Triarthra-breviseta-1854	Triarthra		breviseta		Schmarda 1854	Denkschriften der kaiserlichen Akademie der Wissenschaften, mathematisch-naturwissenschaftliche Classe (Wien), 7/2: p.23, pl.7, fig.I 1- 3; no deposited types known; permanently invalid: preoccupied by Triarthra breviseta Gosse, 1851 [junior subjective synonym of Filinia cornuta (Weisse, 1848); name indeclinable]
Triarthra-breviseta-1851	Triarthra		breviseta		Gosse 1851	The Annals and Magazine of Natural History, (ser. 2) 8: p.200; no deposited types known [junior subjective synonym of Filinia cornuta (Weisse, 1848); name indeclinable]
Anuraea-brevispina	Anuraea		brevispina		Gosse 1851	The Annals and Magazine of Natural History, (ser. 2) 8: p.202; no deposited types known [junior subjective synonym of Keratella testudo (Ehrenberg, 1832); name indeclinable]
Brachionus-brevispina	Brachionus		brevispina		Sudzuki & Huang 1997	Chinese Journal of Oceanology and Limnology, 15: p.182, fig.1 (6-11); holotype: BLND Rot.58010301012000 [junior subjective synonym of Brachionus huangi Zhuge & Koste, 1996; name indeclinable]
Salpina-brevispina	Salpina		brevispina		Ehrenberg 1830	in Ehrenberg, C G, Organisation, Systematik und geographisches Verhältnis der Infusionsthierchen. Zwei Vorträge in der Akademie der Wissenschaften zu Berlin gehalten in den Jahren 1828 [Die geographische Verbreitung der Infusionsthierchen in Nord-Afrika und West-Asien, beobachtet auf Hemprich und Ehrenbergs Reisen] und 1830 [Beiträge zur Kenntnis der Organisation der Infusorien und ihrer geographischen Verbreitung, besonders in Sibirien]: p.66; no deposited types known [valid as Mytilina brevispina (Ehrenberg, 1830); name indeclinable]
Tetramastix-opoliensis-brevispina	Tetramastix		opoliensis	brevispina	Ahlstrom 1932	Transactions of the American Microscopical Society, 51: p.250, fig.7; syntype: AMNH 708 [junior subjective synonym of nominotypical taxon; name indeclinable]
Callidina-multispinosa-brevispinosa	Callidina		multispinosa	brevispinosa	Murray 1908	Journal of the Royal Microscopical Society, 28: p.666, pl.15, figs.1-4; no deposited types known [valid as Macrotrachela multispinosa brevispinosa; name declinable]
Brachionus-brevispinus	Brachionus		brevispinus		Ehrenberg 1832	Abhandlungen der königlichen Akademie der Wissenschaften zu Berlin (für 1831): p.146; no deposited types known [junior subjective synonym of Brachionus quadridentatus Hermann, 1783; name indeclinable]
Brachionus-patulus-brevispinus	Brachionus		patulus	brevispinus	Varga 1953	in Szekessy, V, Bátorliget élővilága: p.128, fig.13; no deposited types known; permanently invalid: preoccupied by Brachionus brevispinus Ehrenberg, 1832 [junior subjective synonym of nominal taxon; name indeclinable]
Noteus-quadricornis-brevispinus	Noteus		quadricornis	brevispinus	Daday 1905	Zoologica, 18: p.118, pl.6, fig.15; no deposited types known [junior subjective synonym of nominotypical taxon; name indeclinable]
Diurella-brevistyla	Diurella		brevistyla		Lucks 1912	in Lucks, R, Zur Rotatorienfauna Westpreußens: p.67, fig.14; no deposited types known [junior subjective synonym of Trichocerca capucina (Wierzejski & Zacharias, 1893); name indeclinable]
Lecane-brevita	Lecane		brevita		Myers 1942	Proceedings of the Academy of Natural Sciences of Philadelphia, 94: p.280, pl.25, fig.1; syntype: ANSP 1563 [junior subjective synonym of Lecane subulata (Harring & Myers, 1926); name indeclinable]
Asplanchna-brightwellii	Asplanchna		brightwellii		Gosse 1850	The Annals and Magazine of Natural History, (ser. 2) 6: p.23; no deposited types known [valid as Asplanchna brightwellii; name indeclinable]
Lecane-broaensis	Lecane		broaensis		Segers & Dumont 1995	Hydrobiologia, 316: p.186, figs.21-24; holotype: RBINS RIR0055IG28157 [valid as Lecane broaensis; name declinable]
Habrotrocha-brocklehursti	Habrotrocha		brocklehursti		Murray 1911	Journal of the Royal Microscopical Society, 31: p.15, pl.1, fig.5; no deposited types known [valid as Habrotrocha brocklehursti; name indeclinable]
Lindia-brotzkayae	Lindia		brotzkayae		Bogoslovsky 1950	Doklady Akademii Nauk SSSR, 72: p.209, figs.1-3; no deposited types known [junior subjective synonym of Lindia tecusa Harring & Myers, 1922; name indeclinable]
Monostyla-brodskii	Monostyla		brodskii		Muraveisky 1937	Trudy Sredneaziatskogo gosudarstvennogo universiteta. Serija VIII-a. Zoologija, ser. 8 a: p.18, fig.8; no deposited types known [junior subjective synonym of Lecane closterocerca (Schmarda, 1859); name indeclinable]
Callidina-brycei	Callidina		brycei		Weber 1898	Revue Suisse de Zoologie, 5: p.347, pl.15, fig.8-12; no deposited types known [valid as Pleuretra brycei; name indeclinable]
Testudinella-brycei	Testudinella		brycei		Hauer 1938	Archiv für Hydrobiologie, Supplement, 15: p.558, fig.81; syntype: SMF GPRot1483 [valid as Testudinella brycei; name indeclinable]
Cephalodella-bryophila	Cephalodella		bryophila		Pawłowski 1938	Annales Musei Zoologici Polonici, 13: p.123, pl.9, fig.1; no deposited types known [valid as Cephalodella rotunda bryophila; name declinable]
Lecane-bryophila	Lecane		bryophila		Koniar 1957	Acta Facultatis Rerum Naturalium Universitatis Comenianae, Zoologia, 2: p.100, fig.5; no deposited types known [valid as Lecane bryophila; name declinable]
Lepadella-buangensis	Lepadella		buangensis		Bērziņš 1982	Limnologiska institutionen, Lunds universitet: p.11, fig.5; no deposited types known [valid as Lepadella buangensis; name declinable]
Drilophaga-bucephalus	Drilophaga		bucephalus		Vejdovsky 1883	Sitzungsberichte der Königlichen Böhmischen Gesellschaft der Wissenschaften in Prag: p.390, pl.1, figs.1-8; no deposited types known [type species of genus Drilophaga Vejdovsky, 1883; valid as Drilophaga bucephalus; name indeclinable]
Trichotria-buchneri	Trichotria		buchneri		Koste, Shiel & Tan 1988	Transactions of the Royal Society of South Australia, 112: p.120, figs.3-5; holotype: SAM-A V4106 [valid as Trichotria buchneri; name indeclinable]
Cupelopagis-bucinedax	Cupelopagis		bucinedax		Forbes 1882	The American Monthly Microscopical Journal, 3: p.102, fig.32; no deposited types known [junior subjective synonym of Cupelopagis vorax (Leidy, 1857); name indeclinable]
Brachionus-budapestinensis	Brachionus		budapestinensis		Daday 1885	Természetrajzi Füzetek kiadja a Magyar nemzeti Múzeum, 9: p.211, pl.11, figs.1-4,9,10; no deposited types known [valid as Brachionus budapestinensis; name declinable]
Mniobia-bulbifera	Mniobia		bulbifera		Bartoš 1939	Sborník Klubu přírodovědeckého v Brně, 21: p.70, fig.; no deposited types known [junior subjective synonym of Macrotrachela habita (Bryce, 1894); name declinable]
Collotheca-bulbosa	Collotheca		bulbosa		Bērziņš 1951	Arkiv för Zoologi, (ser. 2) 1: p.571, figs.1-3; no deposited types known [valid as Collotheca bulbosa; name declinable]
Habrotrocha-bulbosa	Habrotrocha		bulbosa		Wulfert 1961	Archiv für Hydrobiologie, 58: p.98, fig.39; no deposited types known [valid as Habrotrocha bulbosa; name declinable]
Pedalia-bulgarica	Pedalia		bulgarica		Wiszniewski 1933	Internationale Revue der gesamten Hydrobiologie, 29: p.230, figs.1-5; no deposited types known [valid as Hexarthra bulgarica; name declinable]
Dicranophorus-bulgaricus	Dicranophorus		bulgaricus		Althaus 1957	Wissenschaftliche Zeitschrift der Martin-Luther- Universität Halle-Wittenberg, 6: p.448, fig.6; no deposited types known [valid as Dicranophorus bulgaricus; name declinable]
Monostyla-bulla	Monostyla		bulla		Gosse 1851	The Annals and Magazine of Natural History, (ser. 2) 8: p.200; no deposited types known [valid as Lecane bulla; name indeclinable]
Callidina-habita-bullata	Callidina		habita	bullata	Murray 1906	Transactions of the Royal Society of Edinburgh, 45: p.177, pl.3, fig.10; no deposited types known [valid as Macrotrachela bullata; name declinable]
Mniobia-burgeri	Mniobia		burgeri		Bartoš 1951	Věstník Československé společnosti zoologické, 15: p.466; no deposited types known [valid as Mniobia burgeri; name indeclinable]
Synkentronia-bursaria	Synkentronia		bursaria		Hauer 1937	Archiv für Hydrobiologie, Supplement, 15: p.361, fig.6; syntypes: SMF GPRot1991, GPRot1992, GPRot2466 (deteriorated), GPRot2467 [type species of genus Synkentronia Hauer, 1937; species inquirenda et incertae sedis; name declinable]
Monommata-caeca	Monommata		caeca		Myers 1930	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 25: p.391, pl.25, figs.8-10; no deposited types known [valid as Monommata caeca; name declinable]
Pterodina-caeca	Pterodina		caeca		Parsons 1892	Journal of the Quekett Microscopical Club, (ser. 2) 4: p.379, pl.25, fig.3; no deposited types known [valid as Testudinella caeca; name declinable]
Lindia-caerulea	Lindia		caerulea		Myers 1933	American Museum Novitates, 660: p.6, fig.4; syntype: AMNH 735 [valid as Lindia caerulea; name declinable]
Philodina-calcarata	Philodina		calcarata		Schmarda 1854	Denkschriften der kaiserlichen Akademie der Wissenschaften, mathematisch-naturwissenschaftliche Classe (Wien), 7/2: p.6, pl.3, fig.3; no deposited types known [junior subjective synonym of Philodina megalotrocha Ehrenberg, 1832; name declinable]
Lecane-calcaria	Lecane		calcaria		Harring & Myers 1926	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 22: p.381, pl.33, figs.3-4; syntypes: AMNH 421 [valid as Lecane calcaria; name declinable]
Pterodina-calcaris	Pterodina		calcaris		Langer 1909	Verhandlungen des Vereins für Natur- und Heilkunde zu Pressburg = A Pozsonyi Természettudományi és Orvosi Egylet közleményei, (n. ser.) 19: p.46, fig.3; no deposited types known [junior subjective synonym of Testudinella parva (Ternetz, 1892); name indeclinable]
Philodina-calceata	Philodina		calceata		Donner 1970	Archiv für Hydrobiologie, Supplement, 36: p.247, fig.25a-f; no deposited types known [valid as Philodina calceata; name declinable]
Euchlanis-callimorpha	Euchlanis		callimorpha		Bērziņš 1957	Acta Tropica, 14: p.231, fig.1; no deposited types known [valid as Euchlanis callimorpha; name declinable]
Philodina-rugosa-callosa	Philodina		rugosa	callosa	Bryce 1903	Journal of the Quekett Microscopical Club, (ser. 2) 8: p.529; no deposited types known [valid as Philodina rugosa callosa; name declinable]
Euchlanis-callysta	Euchlanis		callysta		Myers 1930	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 25: p.375, pl.17, figs.6-9; no deposited types known [valid as Euchlanis callysta; name indeclinable]
Cephalodella-calosa	Cephalodella		calosa		Wulfert 1956	Archiv für Hydrobiologie, 51: p.463, fig.4; no deposited types known [valid as Cephalodella calosa; name declinable]
Habrotrocha-calosa	Habrotrocha		calosa		Wulfert 1942	Zoologischer Anzeiger, 137: p.198, fig.7; no deposited types known [valid as Habrotrocha calosa; name declinable]
Dapidia-calpidia	Dapidia		calpidia		Myers 1930	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 25: p.371, pl.20, figs.1-8; syntypes: ANSP 0253, AMNH 622, 622B [valid as Euchlanis calpidia; name indeclinable]
Floscularia-calva	Floscularia		calva		Hudson 1885	Journal of the Royal Microscopical Society, 5: p.610; no deposited types known [valid as Collotheca calva; name declinable]
Balatro-calvus	Balatro		calvus		Claparède 1867	Annales des Sciences Naturelles, (ser. 5) 8: p.12, pl.4, figs.3- 4; no deposited types known [type species of genus Balatro Claparède, 1867; valid as Balatro calvus; name declinable]
Brachionus-calyciflorus	Brachionus		calyciflorus		Pallas 1766	in Pallas, P S, Elenchus zoophytorum sistens generum adumbrationes generaliores et specierum cognitarum succinctas descriptiones, cum selectis auctorum synonymis: p.93; no deposited types known [type species of genus Brachionus Pallas, 1766; valid as Brachionus calyciflorus; name declinable]
Filinia-camasecla	Filinia		camasecla		Myers 1938	American Museum Novitates, 1011: p.15, fig.34; holotype: AMNH 954 [type species of genus Parafilinia Sudzuki, 1989; valid as Filinia camasecla; name indeclinable]
Dicranophorus-cambari	Dicranophorus		cambari		Wulfert 1957	Zoologischer Anzeiger, 158: p.28, fig.2; no deposited types known [valid as Dicranophorus cambari; name indeclinable]
Filinia-camasecla-cambodgensis	Filinia		camasecla	cambodgensis	Bērziņš 1973	Hydrobiologia, 41: p.453, figs.1-5; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Floscularia-campanulata	Floscularia		campanulata		Dobie 1849	The Annals and Magazine of Natural History, (ser. 2) 4: p.233, pl.6, figs.1, 3; no deposited types known [type species of genus Collotheca Harring, 1913; valid as Collotheca campanulata; name declinable]
Lecane-camptica	Lecane		camptica		Bērziņš 1982	Limnologiska institutionen, Lunds universitet: p.10, fig.10; no deposited types known [junior subjective synonym of Lecane hornemanni (Ehrenberg, 1834); name declinable]
Lepadella-canadaensis	Lepadella		canadaensis		Myers 1936	Canadian Field Naturalist, 50: p.84, fig.2; syntype: AMNH 882 [valid as Lepadella canadaensis; name declinable]
Callidina-canadensis	Callidina		canadensis		Murray 1911	Journal of the Royal Microscopical Society, 31: p.289, pl.6, fig.4; no deposited types known [valid as Macrotrachela canadensis; name declinable]
Hexarthra-bulgarica-canadensis	Hexarthra		bulgarica	canadensis	Dumont, Coussement & Anderson 1978	Canadian Journal of Zoology, 56: p.444, fig.2; holotype: RBINS, no cat. nr. indicated [valid as Hexarthra bulgarica canadensis; name declinable]
Keratella-canadensis	Keratella		canadensis		Bērziņš 1954	Journal of the Quekett Microscopical Club, (ser. 4) 4: p.113, figs.1-3; no deposited types known [valid as Keratella canadensis; name declinable]
Callidina-cancrophila	Callidina		cancrophila		Piovanelli 1903	Journal of the Quekett Microscopical Club, (ser. 2) 8: p.521; no deposited types known [valid as Macrotrachela cancrophila; name declinable]
Lecane-candida	Lecane		candida		Harring & Myers 1926	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 22: p.368, pl.14, figs.1-2; no deposited types known [valid as Lecane candida; name declinable]
