ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Pseudoembata-acutipoda	Pseudoembata		acutipoda		Wycliffe & Michael 1968	Current Science (Bangalore), 37: p.106, fig.1; no deposited types known [type species of genus Pseudoembata Wycliffe & Michael, 1968; species inquirenda; name declinable]
Proales-adenodis	Proales		adenodis		Myers 1933	American Museum Novitates, 659: p.16, fig.9; no deposited types known [valid as Proales adenodis; name indeclinable]
Dicranophorus-hercules-adenta	Dicranophorus		hercules	adenta	Wulfert 1961	Archiv für Hydrobiologie, 58: p.85, fig.12; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Mniobia-adhaerens	Mniobia		adhaerens		Bartoš 1944	Folia Entomologica, 7: p.123, figs.10,11; no deposited types known [valid as Mniobia adhaerens; name indeclinable]
Brachionus-adisi	Brachionus		adisi		Koste & Hardy 1984	Amazoniana, 9: p.21, figs.1, 3a; holotype: INPA, no cat. nr. indicated [valid as Brachionus adisi; name indeclinable]
Lepadella-adjuncta	Lepadella		adjuncta		Donner 1943	Zoologischer Anzeiger, 143: p.174, fig.2; no deposited types known [valid as Lepadella adjuncta; name declinable]
Colurella-adriatica	Colurella		adriatica		Ehrenberg 1831	in Ehrenberg, C G, Hemprich et Ehrenberg Symbolae physicae. Animalia evertebrata, exclusis insectis, percensuit Dr. C. G. Ehrenberg. Series prima: continent animalia africana et asiatica: 17th page, pl.3, V/3 [Alexandrina], fig.3; no deposited types known [valid as Colurella adriatica; name declinable]
Lecane-aeganea	Lecane		aeganea		Harring 1914	Proceedings of the United States National Museum, 47: p.542, pl.21, figs.1-3; holotype: USNM 16577 [valid as Lecane aeganea; name declinable]
Colurella-aemula	Colurella		aemula		Myers 1934	American Museum Novitates, 700: p.16, fig.13; syntypes: ANSP 0551, AMNH 478 [type species of genus Paracolurella Myers, 1936; valid as Paracolurella aemula; name declinable]
Notommata-aequalis	Notommata		aequalis		Ehrenberg 1830	in Ehrenberg, C G, Organisation, Systematik und geographisches Verhältnis der Infusionsthierchen. Zwei Vorträge in der Akademie der Wissenschaften zu Berlin gehalten in den Jahren 1828 [Die geographische Verbreitung der Infusionsthierchen in Nord-Afrika und West-Asien, beobachtet auf Hemprich und Ehrenbergs Reisen] und 1830 [Beiträge zur Kenntnis der Organisation der Infusorien und ihrer geographischen Verbreitung, besonders in Sibirien]: p.66; no deposited types known [valid as Monommata aequalis; name declinable]
Trochosphaera-aequatorialis	Trochosphaera		aequatorialis		Semper 1872	Zeitschrift für wissenschaftliche Zoologie, 22: p.311, pl.24; no deposited types known [type species of genus Trochosphaera Semper, 1872; valid as Trochosphaera aequatorialis; name declinable]
Monommata-aeschyna	Monommata		aeschyna		Myers 1930	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, Arts and Letters, 25: p.387, pl.24, figs.4-6; no deposited types known [valid as Monommata aeschyna; name declinable]
Brachionus-angularis-aestivus	Brachionus		angularis	aestivus	Skorikov 1914	Trudy Ihtiologicheskoj Laboratorii Upravlenja Kaspjsko - Volzhskih rybnyh i Tjulen’ih Promyslov’, 3: p.31, fig.7; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Notommata-aethis	Notommata		aethis		Myers 1933	American Museum Novitates, 659: p.4, fig.2; syntype: AMNH 690 [valid as Notommata aethis; name declinable]
Bothriocerca-affinis	Bothriocerca		affinis		Eichwald 1847	Bulletin de la Société impériale des naturalistes de Moscou, 20: p.354, pl.9, fig.9; no deposited types known [type species of genus Bothriocerca Eichwald, 1847; species inquirenda et incertae sedis; name declinable]
Habrotrocha-affinis	Habrotrocha		affinis		Bartoš 1938	Sborník Klubu přírodovědeckého v Brně, 20: p.2,9, fig.7; no deposited types known [junior subjective synonym of Habrotrocha munda Bryce, 1913; name declinable]
Salpina-affinis	Salpina		affinis		Herrick 1885	Bulletin of the scientific laboratories of Denison University, 1: p.52, pl.2, fig.4; no deposited types known [junior subjective synonym of Mytilina mucronata (Müller, 1773); name declinable]
Lecane-unguitata-africana	Lecane		unguitata	africana	Koste 1978	in Koste, W, Rotatoria. Die Rädertiere Mitteleuropas. Monogononta: p.246, pl.80, fig.6d-e; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Pleuretra-africana	Pleuretra		africana		Murray 1911	Annals of the Transvaal Museum. Annale van die Transvaal Museum, 3: p.4, pl.1, fig.2; no deposited types known [valid as Pleuretra africana; name declinable]
Testudinella-tridentata-africana	Testudinella		tridentata	africana	Gillard 1952	Mededelingen Landbouwhogeschool Gent, 17: p.345, pl.2, figs.6,7; no deposited types known [junior subjective synonym of Testudinella dicella Myers, 1934; name declinable]
